Accident_ID,Date,Time,Road_Name,City,Vehicle_Type,Weather,Severity,Traffic_Density,Fatalities,Injuries,Latitude,Longitude
ACC0001,2025-01-09,02:10,NH-48,Gurugram,Bike,Clear,Fatal,High,1,3,28.3257,77.0374
ACC0002,2025-06-15,07:36,Ring Road,Noida,SUV,Rain,Fatal,Medium,1,1,28.3038,77.0617
ACC0003,2025-02-01,01:44,GT Road,Delhi,Truck,Fog,Fatal,Low,1,2,28.3335,77.0089
ACC0004,2025-04-25,07:32,MG Road,Jaipur,Bus,Cloudy,Medium,Low,0,4,28.3035,77.0244
ACC0005,2025-01-19,06:32,Airport Road,Delhi,Truck,Fog,Low,Medium,0,1,28.3922,77.0422
ACC0006,2025-01-26,10:48,Airport Road,Jaipur,Bike,Cloudy,Low,Medium,0,0,28.3731,77.0874
ACC0007,2025-03-31,10:30,Airport Road,Jaipur,SUV,Fog,Low,Medium,0,1,28.3363,77.0764
ACC0008,2025-06-25,10:58,GT Road,Noida,Bike,Clear,Fatal,Medium,1,5,28.3768,77.0036
ACC0009,2025-02-26,07:23,Ring Road,Faridabad,SUV,Clear,Low,High,0,2,28.337,77.072
ACC0010,2025-01-03,06:28,GT Road,Delhi,Auto,Cloudy,Fatal,High,1,2,28.3987,77.0319
ACC0011,2025-05-30,02:22,MG Road,Faridabad,SUV,Fog,High,Low,0,4,28.3601,77.0156
ACC0012,2025-05-31,00:37,GT Road,Delhi,SUV,Rain,Low,Medium,0,1,28.3869,77.0656
ACC0013,2025-04-18,16:30,Ring Road,Jaipur,SUV,Clear,Low,High,0,1,28.3896,77.0957
ACC0014,2025-06-14,21:45,MG Road,Faridabad,Bus,Rain,Medium,High,0,4,28.3593,77.0174
ACC0015,2025-01-01,01:02,NH-48,Faridabad,Bike,Rain,Fatal,High,1,1,28.3768,77.0335
ACC0016,2025-02-08,13:02,Airport Road,Jaipur,Auto,Rain,Fatal,Medium,1,1,28.3766,77.0529
ACC0017,2025-03-24,08:50,NH-48,Faridabad,SUV,Clear,Medium,High,0,4,28.381,77.0482
ACC0018,2025-03-06,21:39,Airport Road,Faridabad,Bike,Cloudy,High,Medium,0,4,28.3558,77.0158
ACC0019,2025-01-24,04:54,MG Road,Noida,Auto,Cloudy,Low,High,0,1,28.3221,77.0665
ACC0020,2025-04-03,06:22,Airport Road,Delhi,Bike,Fog,Fatal,High,1,4,28.3624,77.0283
ACC0021,2025-01-21,09:40,MG Road,Jaipur,SUV,Cloudy,High,Low,0,3,28.317,77.0709
ACC0022,2025-04-04,03:40,GT Road,Jaipur,Bus,Clear,High,High,0,2,28.3302,77.0438
ACC0023,2025-06-13,18:33,Airport Road,Delhi,SUV,Rain,High,Low,0,0,28.3657,77.0171
ACC0024,2025-06-26,11:05,MG Road,Noida,Bike,Rain,High,Medium,0,4,28.3573,77.0344
ACC0025,2025-01-17,20:17,Outer Ring Road,Gurugram,Truck,Cloudy,Fatal,High,1,3,28.3715,77.0625
ACC0026,2025-01-19,18:58,GT Road,Delhi,Auto,Clear,High,Medium,0,5,28.3009,77.0502
ACC0027,2025-02-02,01:10,Ring Road,Delhi,Bike,Fog,Low,Medium,0,2,28.3863,77.0322
ACC0028,2025-04-19,04:42,Airport Road,Faridabad,Truck,Rain,Medium,Medium,0,3,28.3572,77.0257
ACC0029,2025-03-08,08:44,GT Road,Noida,Bike,Rain,Fatal,High,1,5,28.3759,77.0425
ACC0030,2025-06-16,14:15,Ring Road,Jaipur,Bus,Rain,High,Medium,0,1,28.3579,77.0945
ACC0031,2025-02-26,18:58,Outer Ring Road,Noida,Truck,Cloudy,Low,Medium,0,2,28.3641,77.0227
ACC0032,2025-03-22,20:28,NH-48,Faridabad,Car,Rain,Low,High,0,2,28.3351,77.0515
ACC0033,2025-02-07,11:13,MG Road,Delhi,Truck,Rain,High,Medium,0,3,28.3276,77.0668
ACC0034,2025-06-09,16:48,GT Road,Gurugram,Auto,Clear,High,High,0,0,28.3909,77.0885
ACC0035,2025-01-11,20:01,GT Road,Gurugram,SUV,Cloudy,Medium,High,0,5,28.3118,77.0057
